"";"t";"original_animal_id";"animal_year_id";"sex";"geometry"
"185";2007-04-12 15:00:00;3358;33580;"f";c(71259.1885501089, 6604674.51291767)
"186";2007-04-12 18:00:00;3358;33580;"f";c(72152.2124201893, 6603193.92325266)
"187";2007-04-12 21:00:00;3358;33580;"f";c(70889.4072138724, 6602695.01742753)
"188";2007-04-13;3358;33580;"f";c(70419.0567263839, 6603065.79581893)
"189";2007-04-13 03:00:00;3358;33580;"f";c(70859.7811735019, 6602520.64242447)
"190";2007-04-13 06:00:00;3358;33580;"f";c(71633.9372701247, 6602297.14434016)
"191";2007-04-13 09:00:00;3358;33580;"f";c(71923.9397247315, 6602408.47149094)
"192";2007-04-13 12:00:00;3358;33580;"f";c(70715.9834922053, 6602137.11431137)
"193";2007-04-13 15:00:00;3358;33580;"f";c(70722.4803870348, 6602130.83497029)
"194";2007-04-13 18:01:00;3358;33580;"f";c(70429.5176626707, 6602659.11920726)
"195";2007-04-13 21:00:00;3358;33580;"f";c(70819.5550323962, 6603171.57081392)
"196";2007-04-14;3358;33580;"f";c(71313.4972924311, 6602951.75665468)
"197";2007-04-14 03:00:00;3358;33580;"f";c(71941.4529701312, 6603136.62856595)
"198";2007-04-14 06:00:00;3358;33580;"f";c(71575.4118364542, 6602885.25692815)
"199";2007-04-14 09:00:00;3358;33580;"f";c(71520.0045192241, 6602956.93361833)
"200";2007-04-14 12:00:00;3358;33580;"f";c(71351.7159768482, 6602774.54685837)
"201";2007-04-14 15:00:00;3358;33580;"f";c(71260.0905178617, 6602825.9459881)
"202";2007-04-14 18:00:00;3358;33580;"f";c(70389.3370910562, 6602865.49424918)
"203";2007-04-14 21:00:00;3358;33580;"f";c(70437.3099386347, 6602844.85017798)
"204";2007-04-15;3358;33580;"f";c(70269.8264496998, 6602851.23308104)
"205";2007-04-15 03:00:00;3358;33580;"f";c(70246.2075979589, 6602933.61108582)
"206";2007-04-15 06:00:00;3358;33580;"f";c(71259.6811173653, 6602325.58358186)
"207";2007-04-15 09:00:00;3358;33580;"f";c(71060.096178213, 6602668.73972699)
"208";2007-04-15 12:00:00;3358;33580;"f";c(71561.9437473396, 6602397.81251641)
"209";2007-04-15 15:00:00;3358;33580;"f";c(71613.189962609, 6602380.74262284)
"210";2007-04-15 18:00:00;3358;33580;"f";c(70059.0213760165, 6601783.76165537)
"211";2007-04-15 21:00:00;3358;33580;"f";c(70757.6706427953, 6602147.03900859)
"212";2007-04-16;3358;33580;"f";c(70619.8387337854, 6602179.75311214)
"213";2007-04-16 03:00:00;3358;33580;"f";c(70503.2574548699, 6602432.64712784)
"214";2007-04-16 06:00:00;3358;33580;"f";c(70889.6520349922, 6602043.35276352)
"215";2007-04-16 09:00:00;3358;33580;"f";c(70655.8877473822, 6602127.4034669)
"216";2007-04-16 12:00:00;3358;33580;"f";c(70657.0309655055, 6603149.82916104)
"217";2007-04-16 15:00:00;3358;33580;"f";c(70900.9153897871, 6603192.81830484)
"218";2007-04-16 18:00:00;3358;33580;"f";c(71412.2437398502, 6603320.55852816)
"219";2007-04-16 21:00:00;3358;33580;"f";c(71658.0436354576, 6603239.53216085)
"220";2007-04-17;3358;33580;"f";c(71131.5026154303, 6603414.50727196)
"221";2007-04-17 03:00:00;3358;33580;"f";c(70662.640488032, 6603209.91645316)
"222";2007-04-17 06:00:00;3358;33580;"f";c(70393.8446619039, 6602909.4755551)
"223";2007-04-17 09:00:00;3358;33580;"f";c(70407.1837572758, 6602700.65029819)
"224";2007-04-17 12:00:00;3358;33580;"f";c(69579.741451869, 6602899.10826575)
"225";2007-04-17 15:00:00;3358;33580;"f";c(69345.6013774617, 6602594.70336707)
"226";2007-04-17 18:00:00;3358;33580;"f";c(69968.871295809, 6602726.56515869)
"227";2007-04-17 21:00:00;3358;33580;"f";c(70762.1866555496, 6602871.55137475)
"228";2007-04-18;3358;33580;"f";c(70735.5826462142, 6602979.93329473)
"229";2007-04-18 03:00:00;3358;33580;"f";c(70815.7359638881, 6603119.55879314)
"230";2007-04-18 06:00:00;3358;33580;"f";c(71185.3062362458, 6602886.60508131)
"231";2007-04-18 09:00:00;3358;33580;"f";c(71244.5122009201, 6602978.26795244)
"232";2007-04-18 12:00:00;3358;33580;"f";c(71337.4257285362, 6602922.24913454)
"233";2007-04-18 15:00:00;3358;33580;"f";c(71407.7876509273, 6602787.93809473)
"234";2007-04-18 18:00:00;3358;33580;"f";c(71542.9188440928, 6602525.67500237)
"235";2007-04-18 21:00:00;3358;33580;"f";c(71157.8839148978, 6602332.05488358)
"236";2007-04-19;3358;33580;"f";c(70969.591252716, 6602233.94882593)
"237";2007-04-19 03:00:00;3358;33580;"f";c(70972.3922831192, 6602237.52717009)
"238";2007-04-19 06:00:00;3358;33580;"f";c(71732.3380142396, 6602464.81125587)
"239";2007-04-19 09:00:00;3358;33580;"f";c(71996.8056808998, 6602407.43582195)
"240";2007-04-19 12:00:00;3358;33580;"f";c(71531.6539482027, 6602402.04895917)
"241";2007-04-19 15:00:00;3358;33580;"f";c(71392.8699382742, 6602385.37490074)
"242";2007-04-19 18:00:00;3358;33580;"f";c(71438.1766998682, 6602352.83804049)
"243";2007-04-19 21:00:00;3358;33580;"f";c(70805.8467264996, 6602981.6313321)
"244";2007-04-20;3358;33580;"f";c(70767.3809238609, 6603084.70508178)
"245";2007-04-20 03:00:00;3358;33580;"f";c(70764.4766224354, 6603091.6303738)
"246";2007-04-20 06:00:00;3358;33580;"f";c(70823.0706867019, 6602888.57442164)
"247";2007-04-20 09:00:00;3358;33580;"f";c(70777.6132636043, 6602862.38792773)
"248";2007-04-20 12:00:00;3358;33580;"f";c(70214.0203447891, 6603077.50670649)
"249";2007-04-20 15:00:00;3358;33580;"f";c(70017.610906811, 6603067.03256629)
"250";2007-04-20 18:00:00;3358;33580;"f";c(70252.2457372444, 6602952.96146903)
"251";2007-04-20 21:00:00;3358;33580;"f";c(70323.154998731, 6603000.25228835)
"252";2007-04-21;3358;33580;"f";c(70337.1415866778, 6602993.71163296)
"253";2007-04-21 03:00:00;3358;33580;"f";c(71322.6237984516, 6602837.58819389)
"254";2007-04-21 06:00:00;3358;33580;"f";c(71514.1640715701, 6602706.95856871)
"255";2007-04-21 09:00:00;3358;33580;"f";c(71417.8012964025, 6602734.38365702)
"256";2007-04-21 12:00:00;3358;33580;"f";c(71384.6978407819, 6601738.15362154)
"257";2007-04-21 15:00:00;3358;33580;"f";c(75320.1633270837, 6598191.30735063)
"258";2007-04-21 18:00:00;3358;33580;"f";c(76879.1504016111, 6594854.77681911)
"259";2007-04-21 21:00:00;3358;33580;"f";c(76810.2450294637, 6594179.12819926)
"260";2007-04-22;3358;33580;"f";c(77027.3296546612, 6594069.81613902)
"261";2007-04-22 03:00:00;3358;33580;"f";c(77438.542349009, 6593992.43821534)
"262";2007-04-22 06:00:00;3358;33580;"f";c(77502.5476721814, 6594013.96171606)
"263";2007-04-22 09:00:00;3358;33580;"f";c(77372.858880589, 6593957.12253902)
"264";2007-04-22 12:00:00;3358;33580;"f";c(76867.9626726448, 6593721.67017137)
"265";2007-04-22 15:00:00;3358;33580;"f";c(76383.0102972192, 6592967.37121598)
"266";2007-04-22 18:00:00;3358;33580;"f";c(76572.6277271064, 6592139.47744485)
"267";2007-04-22 21:00:00;3358;33580;"f";c(78209.613188235, 6592160.39196163)
"268";2007-04-23;3358;33580;"f";c(78764.414876121, 6592052.80046401)
"269";2007-04-23 03:00:00;3358;33580;"f";c(78387.3523880311, 6592060.1146527)
"270";2007-04-23 06:00:00;3358;33580;"f";c(78407.0752094641, 6592544.28042592)
"271";2007-04-23 09:00:00;3358;33580;"f";c(78292.1547475452, 6592523.68815395)
"272";2007-04-23 12:00:00;3358;33580;"f";c(78824.2863229236, 6592623.95280163)
"273";2007-04-23 15:00:00;3358;33580;"f";c(79014.6197319236, 6592582.76570163)
"274";2007-04-23 18:00:00;3358;33580;"f";c(79323.9503585955, 6592391.25446758)
"275";2007-04-23 21:00:00;3358;33580;"f";c(79259.3234952198, 6592583.58621146)
"276";2007-04-24;3358;33580;"f";c(79243.0408110367, 6592461.03138668)
"277";2007-04-24 03:00:00;3358;33580;"f";c(79689.7961080258, 6592638.87429724)
"278";2007-04-24 06:00:00;3358;33580;"f";c(79496.934545728, 6591832.84732179)
"279";2007-04-24 09:00:00;3358;33580;"f";c(78727.7759729662, 6591068.93020526)
"280";2007-04-24 12:00:00;3358;33580;"f";c(78527.7376829105, 6591259.95421582)
"281";2007-04-24 15:00:00;3358;33580;"f";c(78489.6897480001, 6591181.66727248)
"282";2007-04-24 18:00:00;3358;33580;"f";c(79682.7448474698, 6591962.81088434)
"283";2007-04-24 21:00:00;3358;33580;"f";c(80285.3526335795, 6591999.55413372)
"284";2007-04-25;3358;33580;"f";c(80362.4532537653, 6591642.3009564)
"285";2007-04-25 03:00:00;3358;33580;"f";c(80453.4364739559, 6591226.20108417)
"286";2007-04-25 06:00:00;3358;33580;"f";c(80036.0643546979, 6591205.7844667)
"287";2007-04-25 09:00:00;3358;33580;"f";c(80048.5462422452, 6591155.32839535)
"288";2007-04-25 12:00:00;3358;33580;"f";c(80457.3944284139, 6590222.61485018)
"289";2007-04-25 15:00:00;3358;33580;"f";c(79463.7239059286, 6588659.98594833)
"290";2007-04-25 18:00:00;3358;33580;"f";c(78692.640410997, 6588690.39542691)
"291";2007-04-25 21:00:00;3358;33580;"f";c(78941.5420227409, 6588825.48784025)
"292";2007-04-26;3358;33580;"f";c(78804.5261884133, 6588852.12918081)
"293";2007-04-26 03:00:00;3358;33580;"f";c(78767.512339317, 6588883.8549789)
"294";2007-04-26 06:00:00;3358;33580;"f";c(78256.0843835508, 6589034.61696788)
"295";2007-04-26 09:00:00;3358;33580;"f";c(78185.043767087, 6589006.14022929)
"296";2007-04-26 12:00:00;3358;33580;"f";c(78170.4990174028, 6589004.73208485)
"297";2007-04-26 15:00:00;3358;33580;"f";c(78943.4742217989, 6588652.50847288)
"298";2007-04-26 18:00:00;3358;33580;"f";c(79707.9602211203, 6588698.8659833)
"299";2007-04-26 21:00:00;3358;33580;"f";c(79550.8761357745, 6588523.17359184)
"300";2007-04-27;3358;33580;"f";c(79637.762147694, 6588494.29889063)
"301";2007-04-27 03:00:00;3358;33580;"f";c(79435.5506475057, 6588785.80313476)
"302";2007-04-27 06:00:00;3358;33580;"f";c(79912.8392878975, 6588995.44540503)
"303";2007-04-27 09:00:00;3358;33580;"f";c(79531.4989882442, 6588363.3479517)
"304";2007-04-27 12:00:00;3358;33580;"f";c(79929.3037711031, 6587808.10426798)
"305";2007-04-27 15:00:00;3358;33580;"f";c(79974.5446478549, 6587740.31190202)
"306";2007-04-27 18:00:00;3358;33580;"f";c(79560.6233100381, 6587725.18854157)
"307";2007-04-27 21:00:00;3358;33580;"f";c(78472.1926267239, 6586644.0181786)
"308";2007-04-28;3358;33580;"f";c(78334.1912495955, 6586504.37425201)
"309";2007-04-28 03:00:00;3358;33580;"f";c(78541.3655691303, 6586606.89071084)
"310";2007-04-28 06:00:00;3358;33580;"f";c(78438.534501232, 6586587.17854193)
"311";2007-04-28 09:00:00;3358;33580;"f";c(78763.6729319934, 6586773.9020062)
"312";2007-04-28 12:00:00;3358;33580;"f";c(79229.9806201811, 6586662.12993751)
"313";2007-04-28 15:00:00;3358;33580;"f";c(79161.3512126165, 6586798.97079297)
"314";2007-04-28 18:00:00;3358;33580;"f";c(78327.2474988951, 6586601.5029941)
